A,B,result
String searching algorithm,Stochastic,0
3D modeling,Artificial intelligence,0
Random walk,Spanning tree,0
Lazy evaluation,Computer science,1
Parallel computing,Algorithm,1
Formal methods,Software testing,0
Model checking,Foundations of mathematics,1
Kinematics,Wireless sensor network,0
Stochastic process,Randomization,1
Transaction processing,Algorithm,1
NP-complete,Communication,0
Speech recognition,Algorithm,1
Context-free grammar,Finite element method,0
Database design,Operating system,1
Computational problem,Foundations of mathematics,1
Mechanical engineering,Parallel algorithm,0
Routing,Random walk,0
NP (complexity),Computation,1
Large deviations theory,Markov chain,0
Internet,Cache coherence,0
System call,Central processing unit,1
Symbol table,Discrete mathematics,1
Artificial intelligence,Polynomial,1
Hash table,Data (computing),1
Computer network,Logic,1
Concurrency control,Foundations of mathematics,1
Virtual reality,Geometric modeling,0
Interpolation,Application programming interface,0
Application programming interface,Rendering (computer graphics),0
Mathematical proof,Computer software,0
Recurrence relation,Divide and conquer algorithm,0
Image,Malware,0
Combinational logic,Denotational semantics,0
Data,Correlation and dependence,0
Iterative method,Eigenvalues and eigenvectors,1
Numerical analysis,Logic,1
Human-computer interaction,Mathematics,0
Numerical analysis,Superscalar,0
hypothesis testing,Linear system,0
Program optimization,Expert system,0
Computing,Graphical model,0
Queue (data structure),Programming paradigm,0
Monte Carlo method,Algorithm,1
Rendering (computer graphics),Graphics,1
Lisp (programming language),Logic programming,1
Data mining,Computational science,1
OSI model,User interface design,0
Calculus of variations,Bayesian network,0
Volume rendering,GPU,0
Software framework,Calculus,0
Mathematical model,Instruction set,0
Context-free grammar,Computer,1
Communications protocol,MapReduce,0
Relational model,Data type,1
Application programming interface,Data structure,1
Signal processing,Probability,1
Query optimization,Data,1
Cloud computing,Coding theory,0
Random graph,Algebra,1
Artificial intelligence,Mathematics,1
Amortized analysis,Graph theory,1
Prolog,Statistics,0
Markov process,Wavelet,0
Congestion control,Data,1
Discrete mathematics,Mathematics,1
Authentication,Data (computing),0
Shading,Computer simulation,0
Web search engine,Discrete mathematics,1
Prediction,Database management system,0
Parsing,Automata theory,1
Packet switching,Data,1
System call,User interface design,0
Fast Fourier transform,Computational complexity theory,0
NP-complete,Combinatorics,1
Assembly language,Computer architecture,1
Malware,Pushdown automata,0
Decision theory,Integer,1
Cryptanalysis,Computer science,1
Imperative programming,Formal grammar,0
Complexity,Mathematics,1
Software design,Design of experiments,0
Scheduling (computing),Computing,1
Profiling (computer programming),Computing,1
Semantics,Computational learning theory,0
Finite set,Object-oriented programming,0
Automata theory,Partial differential equation,0
Model checking,Computation,1
Symbol table,Signal processing,0
Personal computer,Digital electronics,1
Calculus,Integral,0
Part-of-speech tagging,Uncertainty,0
Web browser,Geometric modeling,0
Denotational semantics,Complexity,0
Scope (computer science),Automata theory,1
Automated theorem proving,Bioinformatics,0
Document classification,Data mining,0
Distributed computing,Computer network,1
Formal verification,Number theory,1
Profiling (computer programming),Integer,1
Finite element method,Algorithm,1
Ray tracing (graphics),Data,1
Software development,Foundations of mathematics,1
Newton's method,NP-complete,0
SQL,Automata theory,1
Mathematical optimization,Scalability,0
Distributed computing,Discrete mathematics,1
Java (programming language),Data,1
Mutual exclusion,Monad (functional programming),0
Approximation algorithm,Problem solving,1
Superscalar,Embedded system,0
Computational complexity theory,Algebra,1
Volume rendering,Rendering (computer graphics),1
Distributed algorithms,Computer science,1
Integral,User interface,0
Automatic programming,Computing,1
Context-free language,Robotics,0
Mechanical engineering,Linear system,0
Virtual memory,First-order logic,0
Integral,List of undecidable problems,0
Object-oriented programming,Object (computer science),1
Variable (computer science),Random variable,0
Data type,Data structure,1
Numerical analysis,Lexical analysis,0
B-tree,Probability,0
Coding theory,Number theory,1
Pattern recognition,Mathematics,1
Software engineering,Number theory,1
Software engineering,Algorithm,1
Inference,Operating system,0
Computer animation,Model checking,0
Computational complexity theory,Theory of computation,1
Program analysis,Concurrent computing,0
Parametric polymorphism,Debugging,0
CPU cache,Computer architecture,1
Bioinformatics,Combinatorics,1
Quantum computer,System programming,0
C++,Floating point,1
Application programming interface,Problem solving,0
P versus NP problem,Abstraction (computer science),1
First-order logic,Complexity,0
Java (programming language),Artificial intelligence,0
Feature extraction,Problem solving,1
Speech recognition,Markov chain,1
Data structure,Partial differential equation,0
Big data,Foundations of mathematics,1
Randomized algorithm,Computer science,1
Iterative method,Stochastic process,0
Bioinformatics,Arithmetic,1
Algorithm design,Number theory,1
Microcode,Programming language,1
Flow network,Fixed point (mathematics),0
Concurrency control,Arithmetic,1
Ray tracing (graphics),Graphics,1
Communication,Differential equation,0
User interface,Motion planning,0
Concurrency control,Fourier analysis,0
Digital signature,Lisp (programming language),0
Compiler,Pattern matching,0
Algorithm design,Introduction to Algorithms,1
Linear programming,Computability,1
Memory management,Computer,1
Probability,Foundations of mathematics,1
Probability theory,Compiler,0
Computational geometry,Asymptotic analysis,1
Assembly language,Natural language,1
Control flow,Arithmetic,1
Amortized analysis,Data type,1
Motion planning,Linear algebra,0
Neural network,Machine learning,1
Perl,Concurrency control,0
Image analysis,Algorithm,0
Packet switching,Randomized algorithm,0
Web service,Flow network,0
Neural network,Programming language,1
Peer-to-peer,Mutual exclusion,0
GPU,Multi-core processor,0
Visualization (computer graphics),Iterative method,0
Logic programming,Logic,1
Game theory,Arithmetic,1
String (computer science),Computer programming,1
Software engineering,Telecommunications network,0
Predicate logic,Mathematics,0
Robotics,Machine learning,1
Mobile device,Multiplication,0
Newton's method,Algorithm,1
ML (programming language),High-level programming language,0
Spanning tree,NP (complexity),0
Symmetric multiprocessing,Time complexity,0
Computer programming,Data type,1
P versus NP problem,Integer,1
Index (database),Arithmetic,1
Computational complexity theory,Graph theory,1
Discrete mathematics,C (programming language),0
Document classification,Imperative programming,0
Visualization (computer graphics),Computer science,1
Flow network,Introduction to Algorithms,1
Control flow,Least squares,0
Boundary value problem,Database,0
Abstraction (computer science),Computer science,1
GPU,Computing,1
Assembly language,Machine translation,0
Garbage collection (computer science),Finite difference,0
Discrete mathematics,Signal processing,0
Amortized analysis,Logic,1
Functional programming,Foundations of mathematics,1
Economics,Ordinary differential equation,0
Hidden Markov model,Ray tracing (graphics),0
PageRank,Integer,0
Unix,Arithmetic,1
3D computer graphics,Polynomial,1
Database management system,Fixed point (mathematics),0
Approximation,Matrix (mathematics),0
Information theory,Asymptotic analysis,0
Automatic programming,Graph theory,1
Scope (computer science),Debugging,0
Algorithm design,Computer,1
Motion planning,Transaction processing,0
Economics,Congestion control,0
Embedded system,Martingale (probability theory),0
Knowledge representation and reasoning,Big data,0
Packet switching,Probability,0
Virtual memory,Reason,0
Robotics,Debugging,1
Structured programming,Graphical model,0
String (computer science),Sequence alignment,0
Vector processor,Computer science,1
Programming language,Design pattern (computer science),0
SQL,Structured programming,0
Economics,Random variable,1
Newton's method,Mathematical model,1
Program optimization,Polynomial,1
Linear programming,Semantics of programming languages,0
Pattern recognition,Internet Protocol Suite,0
Automated theorem proving,Time complexity,0
Formal verification,Foundations of mathematics,1
Genetic algorithm,Computing,1
Run time (program lifecycle phase),Discrete mathematics,1
Type system,Data structure,1
Variable (computer science),Central processing unit,0
Python (programming language),Recurrence relation,0
Machine translation,Iterative method,1
Web service,Logic,0
Transaction processing,Analysis of algorithms,1
Neural network,Mathematics,1
Parallel algorithm,Discrete mathematics,1
Interaction design,P versus NP problem,0
Nonlinear system,Image processing,0
Document classification,Graph theory,1
Nonlinear system,Shared memory,0
Array data structure,Software development,0
PSPACE,Interactivity,0
Compiler,Parsing,1
Image,Human-computer interaction,0
Recursion (computer science),Computational science,1
Randomness,Encryption,0
Control flow,Data structure,1
Multi-core processor,Computer programming,1
Wireless sensor network,Memory hierarchy,0
Fast Fourier transform,Logic,1
Variable (computer science),Cloud computing,0
Partial differential equation,Numerical analysis,1
Bayesian network,Monte Carlo method,0
Abstract data type,Concurrent computing,0
Machine learning,Discrete mathematics,1
Data (computing),Game theory,0
String searching algorithm,Mathematical induction,1
Parsing,Computability,1
Software design,Computer science,1
Inheritance (object-oriented programming),Variable (computer science),1
Uncertainty,PSPACE,0
Theoretical computer science,Program optimization,0
Natural language processing,Syntax,1
Lisp (programming language),Monte Carlo method,0
Personal computer,Information security,0
Quantum mechanics,Server (computing),0
Index (database),Database management system,1
Gradient descent,Combinatorics,1
User interface,Wavelet,0
Information theory,Conditional probability,1
Natural language processing,Logic,1
Volume rendering,Shading,1
Transaction processing,Computer programming,1
Database system,Database,1
Analysis of algorithms,Algebra,1
Geometric modeling,Problem solving,1
Neural network,Probability,1
Automata theory,Index (database),0
Database management system,Data (computing),1
Linear system,Queue (data structure),0
Scheduling (computing),Very long instruction word,0
Programming language,Computer,1
Unsupervised learning,Probability theory,1
Computer simulation,Program analysis,0
Time complexity,Algorithm design,1
Relational database,Number theory,1
C (programming language),Queue (data structure),0
Object (computer science),Motion planning,0
GPU,Computer graphics,1
Autonomous robot,Computer programming,1
Information security,Introduction to Algorithms,0
Spanning tree,Recursion (computer science),0
Machine translation,Computational science,1
Interaction design,Finite difference,0
Linear programming,Syntax,0
Linear programming,Abstraction (computer science),1
Polymorphism (computer science),Integer,1
Randomized algorithm,Theory of computation,1
Support vector machine,Semantics of programming languages,0
Complexity class,Computability,1
Lisp (programming language),Number theory,1
Unsupervised learning,Computer programming,1
Semantics,Syntax,1
Digital electronics,First-order logic,0
Functional programming,Automata theory,1
Graphical user interface,Traffic analysis,0
Stochastic,Queue (data structure),0
Database,Web search engine,0
Virtual memory,Operating system,1
String (computer science),Bioinformatics,0
Question answering,Unsupervised learning,0
Automated planning and scheduling,Linear system,0
Martingale (probability theory),Formal language,0
Algorithm design,Theoretical computer science,1
Vector processor,Time complexity,1
Machine translation,Discrete mathematics,1
Scientific visualization,Algorithm design,1
Signal processing,Index (database),0
Kinematics,C++,0
Malware,Graph (mathematics),1
Feature extraction,Perl,0
Relational model,Integral,0
Asymptotic analysis,Computer vision,0
Ordinary differential equation,NP-complete,0
Computer network,Communication,1
Program optimization,Approximation,0
Mathematical optimization,Recommender system,0
Procedural programming,Computer architecture,0
Dynamic programming,Unsupervised learning,0
Formal methods,Data structure,1
Modular programming,Programming language,1
Formal methods,Artificial intelligence,0
Computer vision,Mathematical model,1
Software development,Finite-state machine,0
Rendering (computer graphics),Arithmetic,1
Haskell (programming language),Recursion (computer science),1
Cryptography,Computer,1
Data structure,NP (complexity),0
Computer graphics,Database,0
Linear algebra,Formal methods,0
Computational geometry,Computer programming,1
Randomized algorithm,Mathematics,1
Relational database,Data,1
Very long instruction word,Computational geometry,0
Sentiment analysis,Lexical semantics,0
Functional programming,Computer programming,1
Deadlock,Input/output,1
Model checking,Polynomial,1
Structured programming,Data structure,1
Image analysis,Microcode,0
Computer programming,Abstraction (computer science),1
Automated planning and scheduling,Internet Protocol Suite,0
Calculus of variations,Communication,0
Hidden Markov model,Numerical analysis,1
Pushdown automata,Image processing,0
Lazy evaluation,Lock (computer science),0
Floating point,Digital electronics,0
Computer graphics,Concurrency (computer science),0
Discrete mathematics,Mathematical proof,1
Algorithm,Dynamic memory allocation,0
Random variable,Sparse matrix,0
C++,Data type,1
Dynamic programming,Computer,1
Monte Carlo method,Integral,1
Scope (computer science),Object-oriented programming,0
String (computer science),Design pattern (computer science),0
Database transaction,Quantum cryptography,0
Coding theory,Tensor,0
Robotics,Software engineering,1
Computing,Cloud computing,0
Interpolation,Numerical analysis,1
Semantics of programming languages,Interface (computing),0
Superscalar,Concurrent computing,0
Partial differential equation,System programming,0
Atomicity (database systems),Symbol table,0
Lexical semantics,Semantics,1
Software framework,Query optimization,0
Unsupervised learning,Mathematical optimization,1
Semantics of programming languages,Computer science,1
Quantum computer,Concurrency control,0
ML (programming language),Recursion,1
Relational model,Multiplication,0
PSPACE,Cryptanalysis,0
Scope (computer science),Programming style,0
Processor register,Interface (computing),0
Compiler,Discrete mathematics,1
Index (database),Cryptography,0
Wireless sensor network,Communication,1
Computer security,Linear algebra,0
Shortest path problem,Compiler,0
Cloud computing,Mathematical proof,0
Divide and conquer algorithm,Computability,1
Geometric modeling,Combinatorics,1
User interface design,Linked list,0
Pattern recognition,Foundations of mathematics,1
Graph coloring,Recommender system,0
Image analysis,Design pattern (computer science),0
Procedural programming,Routing,0
Automatic programming,Computer programming,1
Computer programming,Shading,0
Data (computing),Sentiment analysis,0
Transaction processing,Logic,1
Run time (program lifecycle phase),Computer,1
Exponential family,Random variable,1
MATLAB,Computer programming,1
Profiling (computer programming),P versus NP problem,0
Procedural programming,Logic,1
Document classification,Database design,0
Machine translation,Programming language,1
Lock (computer science),Least squares,0
Expected value,User interface,0
Object-oriented programming,Discrete mathematics,1
Mathematical optimization,Mathematical model,1
Lazy evaluation,Python (programming language),0
Algebra,Unsupervised learning,0
Microcode,Computer science,1
Software design,Approximation algorithm,0
Processor register,Perl,0
Queue (data structure),Array data structure,1
"Best, worst and average case",Support vector machine,0
Computer software,Computing,1
Dynamic memory allocation,Array data structure,1
Lexical analysis,Regular expression,1
Spanning tree,Run time (program lifecycle phase),0
Feature extraction,Computing,1
Denotational semantics,Generic programming,0
Data (computing),High-level programming language,0
Logic programming,Dynamic programming,0
List of undecidable problems,NP-complete,0
Recursively enumerable set,Combinatorics,1
Message passing,Spanning tree,0
Server (computing),Computer,1
Visualization (computer graphics),Analysis of algorithms,0
Machine learning,Foundations of mathematics,1
Dynamic programming,Recursively enumerable set,0
Functional programming,Discrete mathematics,1
Assembly language,Logic,1
ML (programming language),NP-complete,0
Fast Fourier transform,Combinatorics,1
PSPACE,Reinforcement learning,0
Lexical analysis,Discrete mathematics,1
NP (complexity),Computational complexity theory,1
Computational complexity theory,Introduction to Algorithms,0
Hidden Markov model,Computer,1
Congestion control,Numerical analysis,0
Approximation algorithm,Distributed computing,0
Data mining,Iterative method,1
Complexity,Computability,1
Divide and conquer algorithm,Computation,1
Prediction,Recursion,0
Theoretical computer science,Signal processing,0
Model of computation,Graph theory,1
Imperative programming,Traffic analysis,0
Formal language,Mobile device,0
Dynamic programming,Computability,1
P versus NP problem,Microprocessor,0
Internet Protocol Suite,Computer,1
hypothesis testing,User interface design,0
Compiler,Computational science,1
MapReduce,Image analysis,0
Database management system,Processor register,0
Thread (computer science),Interpolation,0
Transaction processing,Object (computer science),1
Motion planning,Compiler optimization,0
Lisp (programming language),Discrete mathematics,1
Computer software,Digital electronics,1
Internet Protocol Suite,Graph (mathematics),1
Monad (functional programming),HTML,0
Cache coherence,Unsupervised learning,0
GPU,Time complexity,1
Statistics,Computational complexity theory,0
Sufficient statistic,Probability,1
Undecidable problem,Complexity,1
Differential equation,Queue (data structure),0
Scheduling (computing),Asymptotic analysis,0
MapReduce,Least squares,0
Computer,Arithmetic,1
Internet,Garbage collection (computer science),0
Computer vision,Routing,0
Java (programming language),Computer architecture,1
Dynamic programming,Database normalization,0
Web search engine,Computability,1
Compiler optimization,Query optimization,0
Analysis of algorithms,Pattern matching,0
Machine learning,Combinatorics,1
String (computer science),Shortest path problem,0
Computer software,Deadlock,0
Java (programming language),Randomized algorithm,0
Concurrency control,Graph theory,1
Debugging,Computer,1
Lisp (programming language),Graph theory,1
Artificial intelligence,Computing,1
Pattern recognition,"Best, worst and average case",0
Geometric modeling,Foundations of mathematics,1
Recursion,Semidefinite programming,0
Arithmetic,High-level programming language,0
Transaction processing,Data (computing),1
Data type,Programming language,1
Program analysis,Sequence alignment,0
Undecidable problem,Computability,1
Prolog,Communication,0
Congestion control,Linear programming,0
Algorithm design,Foundations of mathematics,1
Formal language,Mathematical proof,1
Software engineering,Abstraction (computer science),1
PageRank,Abstraction (computer science),0
Virtual reality,Higher-order function,0
Computational geometry,Combinatorics,1
Semidefinite programming,Interaction design,0
Haskell (programming language),Scope (computer science),1
Formal methods,Robotics,0
Genetic algorithm,Foundations of mathematics,1
C (programming language),Logic,1
Amortized analysis,Distributed algorithms,0
Stochastic process,Exponential family,0
Ordinary differential equation,Nonlinear system,1
Formal methods,Computer science,1
Arithmetic,Data type,0
Social network,Mathematics,1
Denotational semantics,Computer,1
Social network,Gradient descent,0
Finite element method,Kalman filter,0
Software engineering,Computer science,1
Graphical model,Algorithm design,1
Database normalization,Data structure,1
Traffic analysis,Mathematical proof,1
Packet switching,Divide and conquer algorithm,0
Interpolation,Approximation,1
Application software,Image,0
Python (programming language),Multi-core processor,0
Very long instruction word,Modular arithmetic,0
Programmer,Computer programming,1
String searching algorithm,Discrete mathematics,1
Cryptography,Mathematical proof,1
Rendering (computer graphics),Geometry,1
Matrix (mathematics),Mathematics,1
Relational model,Data structure,1
Shading,Amortized analysis,0
Recursion (computer science),Stochastic process,0
Scalability,World Wide Web,0
Propositional calculus,hypothesis testing,0
Procedural programming,Graph theory,1
Database,Number theory,1
Time complexity,Parametric polymorphism,0
Graph coloring,Concurrency control,0
PSPACE,Turing machine,1
Performance tuning,Mechanical engineering,0
Automatic programming,Computer,1
Entropy,B-tree,0
Dynamic memory allocation,Approximation algorithm,0
Data analysis,Problem solving,1
Stack (data structure),Part-of-speech tagging,0
Program optimization,Combinatorics,1
Software development,Theory of computation,1
Complexity class,Mathematics,1
Cryptanalysis,Vector processor,0
Machine translation,Problem solving,1
Logic programming,Mathematics,1
Autonomous robot,Kernel (computing),0
Database management system,Data,1
Recursively enumerable set,Wavelet,0
Social network,Graph theory,1
Virtual memory,Computing,1
Programmer,Stack (data structure),0
Software design,Algorithm,1
Concurrency (computer science),Lock (computer science),1
Prolog,Computer science,1
String (computer science),Algorithm,1
Natural language,Embedded system,0
Cryptographic hash function,Lexical analysis,0
Signal processing,Thread (computer science),0
Human-computer interaction,Algebra,0
Concurrency control,Discrete mathematics,1
Lexical analysis,Computer,1
Traffic analysis,Exponential family,0
Symmetric multiprocessing,Markov chain,0
Database normalization,Theory of computation,0
Structured programming,Sparse matrix,0
Shared memory,Computational science,0
Program optimization,Statistical inference,0
Finite-state machine,Foundations of mathematics,1
Model of computation,B-tree,0
Computational science,Linear algebra,0
Lexical analysis,Theory of computation,1
Nonlinear system,Compiler optimization,0
Distributed computing,Data (computing),1
Hidden Markov model,Introduction to Algorithms,1
Least squares,Algorithm,1
PSPACE,Randomization,0
Feature extraction,Polynomial,1
Queue (data structure),Computation,0
Assembly language,Computing,1
System programming,Computer,1
Semidefinite programming,Lexical semantics,0
Mathematics,Computer programming,0
Computer programming,Computational complexity theory,1
Computational learning theory,PSPACE,0
Theoretical computer science,Reinforcement learning,0
JavaScript,Economics,0
Computer vision,Random variable,1
Recursively enumerable set,Polynomial,1
Scientific visualization,Computer science,1
Operating system,Linked list,0
Relational algebra,Computer,0
Calculus of variations,ML (programming language),0
C++,Approximation algorithm,0
String searching algorithm,Number theory,1
Abstraction (computer science),Computer security,0
Distributed computing,Computer science,1
Markov chain,Problem solving,0
Computer architecture,Computer,1
Lisp (programming language),Recursion,1
Debugging,Logic,1
Computation,Parametric polymorphism,0
Programming style,Memory hierarchy,0
Natural language processing,Data analysis,0
Random walk,Algebra,1
Object-oriented programming,Computational complexity theory,1
Embedded system,Arithmetic,1
Automatic programming,Mathematics,1
Combinational logic,Complexity class,0
hypothesis testing,Data,1
Cluster analysis,Profiling (computer programming),0
Undecidable problem,Scope (computer science),0
Internet,Communications protocol,1
Web service,Server (computing),0
Multi-core processor,Computer,1
Program analysis,Finite difference,0
Automatic programming,Malware,0
Distributed algorithms,Arithmetic logic unit,0
Data mining,Artificial intelligence,1
Quantum computer,Large deviations theory,0
Natural language,Design pattern (computer science),0
Computer graphics,Computing,1
Markov chain,Hidden Markov model,0
World Wide Web,Automata theory,0
Time complexity,Computing,1
Mutual exclusion,Vector processor,0
Randomized algorithm,Computability,1
Personal computer,Computer,1
Economics,Iterative method,0
First-order logic,Recursion,1
Recommender system,Artificial intelligence,1
Recursion,Foundations of mathematics,1
PageRank,Expert system,0
Hash table,Memory hierarchy,0
Suffix tree,Software development,0
Message passing,Graph theory,1
Query optimization,Quantum computer,0
Software design,Object-oriented programming,1
Approximation algorithm,Matrix (mathematics),1
Random graph,Probability theory,1
Fourier analysis,Robotics,0
Debugging,Computational complexity theory,1
Computer science,Number theory,1
Bioinformatics,Analysis of algorithms,1
Modular programming,Computer programming,1
Rendering (computer graphics),Personal computer,1
GPU,Parallel computing,1
Least squares,Numerical analysis,1
Divide and conquer algorithm,Control flow,1
Object-oriented programming,Number theory,1
Divide and conquer algorithm,Recursion,1
List of undecidable problems,Computability,1
Approximation algorithm,Computer science,1
Central processing unit,Computer simulation,0
Analysis of algorithms,Type system,0
Programmer,Lock (computer science),0
Inference,Probability,1
Combinational logic,CPU cache,0
Ordinary differential equation,"Best, worst and average case",0
Volume rendering,Least squares,0
Lexical analysis,Model checking,0
Rendering (computer graphics),Higher-order function,0
Dynamic programming,Control flow,1
Shading,Nonlinear system,0
Digital signature,Combinatorics,1
Formal language,Computer programming,1
Run time (program lifecycle phase),Document classification,0
Automata theory,Information security,0
Profiling (computer programming),Theoretical computer science,1
Complexity class,Computer science,1
Linked list,Variable (computer science),0
Markov chain,Random variable,1
Recursion,Computer,1
Profiling (computer programming),Mathematical induction,1
Probability theory,Arithmetic,1
Graphical model,Data,1
Modular programming,Context-free grammar,0
Computational chemistry,Poisson distribution,0
Sentiment analysis,Semantics,1
Algorithm design,Problem solving,1
Programmer,Computer science,1
Theoretical computer science,Computer science,1
Database normalization,Question answering,0
PSPACE,Finite-state machine,1
Compiler,Computing,1
C++,Design pattern (computer science),1
System programming,Suffix tree,0
Coding theory,Theoretical computer science,1
Recurrence relation,Assembly language,0
Natural language processing,Computer programming,1
Deadlock,Operating system,1
Routing,Distributed computing,0
Database normalization,Scalability,0
Superscalar,Message Passing Interface,0
Mathematical model,Approximation algorithm,0
Inheritance (object-oriented programming),Finite element method,0
Gradient descent,Computing,1
Complexity class,Computation,1
Imperative programming,Algebra,0
Garbage collection (computer science),Random walk,0
Data mining,Combinatorics,1
Newton's method,Random variable,1
Lisp (programming language),Programming language,1
Computer software,MATLAB,0
Neural network,Expected value,1
Finite difference,Floating point,1
SQL,Object (computer science),1
Imperative programming,Malware,0
Perl,Parsing,1
Programming paradigm,Software design,0
3D modeling,Finite difference,0
Computer architecture,Procedural programming,0
Monte Carlo method,Data,1
Unsupervised learning,Abstraction (computer science),0
Software development,Object-oriented programming,1
High-level programming language,Computer,1
Parsing,Programming language,1
Bioinformatics,Theoretical computer science,1
Pattern matching,Digital signature,0
Relational database,Relational model,1
Image,Lexical analysis,0
Random walk,Computer programming,0
Scope (computer science),Computer,1
Congestion control,Random graph,0
Randomness,Combinational logic,0
Database,Object (computer science),1
Software framework,Computing,1
Image processing,Arithmetic,1
MATLAB,Game theory,0
Document classification,Mathematical optimization,1
Formal verification,Finite element method,0
Recommender system,Algorithm design,1
Concurrency (computer science),Web service,0
Perl,Compiler,1
String searching algorithm,Problem solving,1
Linear programming,Computer multitasking,0
Query language,Computer science,1
Program analysis,Computer,1
High-level programming language,Graphical model,0
JavaScript,Automata theory,1
Relational model,Predicate logic,1
Image analysis,Bioinformatics,0
Time complexity,Finite element method,0
Python (programming language),Internet Protocol Suite,0
Inheritance (object-oriented programming),Quantum mechanics,0
Theoretical computer science,Computer,1
Natural language processing,Semantics,1
Virtual memory,Graphical user interface,0
Array data structure,Algorithm,0
Shortest path problem,Scientific visualization,0
Finite set,Integral,0
P versus NP problem,Logic,1
Graph theory,Decision theory,0
Concurrency control,Data type,0
Iterative method,Algorithm,1
Database system,Computer science,1
Undecidable problem,Polymorphism (computer science),0
Assembly language,Algorithm,1
Formal verification,Logic,1
Data mining,Problem solving,1
Software development,Number theory,1
Prolog,String (computer science),1
Firewall (computing),Vulnerability (computing),1
Data mining,Reason,1
Monte Carlo method,Support vector machine,0
Quantum computer,Polynomial,1
Application programming interface,Computability,1
Computer science,Computer,1
Natural language,Digital signature,0
Very long instruction word,Computer science,1
Public-key cryptography,Abstraction (computer science),1
Sentiment analysis,Probability,1
Finite-state machine,Probability,0
Cluster analysis,Computer science,1
Amortized analysis,Computer science,1
Concurrency control,Digital electronics,1
Firewall (computing),Interpolation,0
High-level programming language,Logic,1
C++,Quantum cryptography,0
Firewall (computing),Wavelet,0
Random walk,Operating system,0
Traffic analysis,Software framework,0
C++,Arithmetic,1
Mobile device,Recursion,0
Distributed algorithms,Abstraction (computer science),1
Cryptanalysis,Computation,1
Input/output,Server (computing),0
Run time (program lifecycle phase),Data structure,0
Database design,Database system,1
Recursion (computer science),Polynomial,1
Cryptanalysis,Integer,1
Object-oriented programming,Computational science,1
Concurrency (computer science),Poisson distribution,0
Motion capture,Computer graphics,1
Peer-to-peer,Logic programming,0
Synchronization,Input/output,0
Computational geometry,Computational chemistry,0
Functional programming,Instruction set,0
Mutual exclusion,Pattern recognition,0
Cryptography,Performance tuning,0
Model of computation,Asymptotic analysis,0
Assembly language,Algebra,0
Turing machine,Computer,1
Fast Fourier transform,Concurrency control,0
Lock (computer science),Message passing,0
Combinatorics,Eigenvalues and eigenvectors,0
SQL,Sentiment analysis,0
Public-key cryptography,Computer science,1
Document classification,Machine learning,1
Computer network,Algorithm,1
Natural language processing,Statistics,1
Database design,Data,1
Procedural programming,Spanning tree,0
Distributed computing,Python (programming language),0
Quantum computer,Context-free language,0
Graphical model,Random variable,1
Scope (computer science),Computational complexity theory,1
Information theory,Java (programming language),0
3D computer graphics,Combinational logic,0
Very long instruction word,Newton's method,0
Array data structure,Data analysis,0
hypothesis testing,Approximation algorithm,0
Exponential family,Database management system,0
Cryptanalysis,Combinatorics,1
MATLAB,Computer science,1
Newton's method,Mathematical optimization,1
Mathematical induction,Bioinformatics,0
Finite element method,Data,0
Denotational semantics,Thread (computer science),0
Performance tuning,Context-free language,0
Symbol table,Bioinformatics,0
Semantics,Index (database),0
Halting problem,Halting problem,0
Microcode,Arithmetic,1
Conditional probability,Programmer,0
Foundations of mathematics,Virtual reality,0
Memory management,Computing,1
Inheritance (object-oriented programming),Computer science,1
Scalability,Support vector machine,0
Shading,Control flow,0
Pipeline (computing),Processor register,0
Garbage collection (computer science),Random variable,0
Context-free grammar,Graph theory,1
String searching algorithm,Foundations of mathematics,1
Graph (mathematics),Prediction,0
Public-key cryptography,Mechanical engineering,0
Embedded system,List of undecidable problems,0
Economics,Model of computation,0
Iterative method,Control flow,0
Computer science,Graph (mathematics),1
Scripting language,Computer science,1
Formal grammar,Recursion,0
Vulnerability (computing),Model of computation,0
Synchronization,Prolog,0
NP-complete,Telecommunications network,0
Least squares,Bayesian,0
Database management system,Logic,1
Virtual memory,Database system,0
User interface design,Ray tracing (graphics),0
Reinforcement learning,Artificial intelligence,1
Game theory,Turing machine,0
Big data,Number theory,1
Information security,OSI model,0
Natural language processing,Data structure,1
Theoretical computer science,Logic,1
Cluster analysis,Computability,0
Cryptography,Discrete mathematics,1
Malware,Abstract data type,0
Python (programming language),Control flow,1
Expert system,Computational science,1
C (programming language),Fixed point (mathematics),0
Image analysis,Computer,1
Polymorphism (computer science),Computer science,1
Suffix tree,PageRank,0
Computer,Relational algebra,0
Python (programming language),Recursion (computer science),0
Random variable,Computational problem,0
Markov chain,Application programming interface,0
Symbol table,Parsing,1
Eigenvalues and eigenvectors,Web service,0
Algorithm design,Graph theory,1
Algorithm design,Mathematics,1
Linked list,Logic,1
Robotics,Asymptotic analysis,1
Haskell (programming language),Neural network,0
Artificial intelligence,Algorithm,1
Random graph,Feature extraction,0
Fixed point (mathematics),Reason,0
Polymorphism (computer science),Signal processing,0
Hidden Markov model,Quantum computer,0
Image analysis,Finite element method,0
Reinforcement learning,Graph theory,1
Computer programming,Data (computing),1
Computer architecture,Computer science,1
Complexity class,Computational complexity theory,1
Mobile device,Computer security,0
Higher-order function,Sparse matrix,0
Computational geometry,Introduction to Algorithms,1
Wireless sensor network,Mathematical induction,0
Imperative programming,Number theory,1
